cand,family,series,kind,periods,pub_lag_days,first_obs,transform,window,sign_IS,SR_IS,SR_OOS,SR_full,SR_full_gross,SR_full_stubcost,SR_of_SR,positive_years,n_years,beta,mean_pos,max_dd_days,max_dd_pct,turnover_ann,held_pct,tcost_pct_of_gross,gate_srsr,gate_posyr,gate_beta,gate_nyr,gate_oos,n_gates
us_dxy_broad_level|selfz|w252,fx,us_dxy_broad,level,0,0,2006-01-02,selfz,252,-1,0.245,0.43,0.317,0.334,0.328,0.361,0.571,21,-0.232,0.019986035808114616,3160,-45.73,15.67,99.43,5.11,False,False,False,True,True,2
us_real_10y_level|selfz|w60,rates,us_real_10y,level,0,0,2003-01-02,selfz,60,-1,0.547,-0.136,0.316,0.36,0.345,0.266,0.583,24,-0.021,0.001837675537419167,1209,-52.58,33.48,99.23,12.28,False,False,True,True,False,2
us_dgs5_level|bdtanh|w120,rates,us_dgs5,level,0,0,1962-01-02,bdtanh,120,-1,0.482,-0.064,0.315,0.342,0.333,0.401,0.615,26,0.058,-0.019684581792964877,1510,-50.58,21.34,99.69,8.13,False,False,True,True,False,2
us_dxy_broad_level|rankc|w120,fx,us_dxy_broad,level,0,0,2006-01-02,rankc,120,-1,0.257,0.413,0.315,0.342,0.333,0.236,0.476,21,-0.206,-0.017562753022714366,2688,-41.7,23.39,99.66,7.82,False,False,False,True,True,2
us_electronics_ppi_yoy|robustz|w120,semis,us_electronics_ppi,yoy,12,45,1965-12-01,robustz,120,-1,0.461,-0.06,0.312,0.322,0.319,0.393,0.6,25,-0.131,-0.004526796080652892,1289,-56.12,7.02,99.19,3.25,False,False,True,True,False,2
us_real_10y_level|bdtanh|w252,rates,us_real_10y,level,0,0,2003-01-02,bdtanh,252,-1,0.505,-0.076,0.309,0.333,0.325,0.201,0.542,24,-0.068,0.03291263872173339,799,-46.86,20.23,99.57,7.16,False,False,True,True,False,2
us_semi_ppi_yoy|robustz|w252,semis,us_semi_ppi,yoy,12,45,1967-01-01,robustz,252,-1,0.446,-0.035,0.301,0.306,0.304,0.2,0.72,25,-0.212,0.0018695833713044674,854,-80.64,4.1,99.7,1.59,False,True,False,True,False,2
us_dxy_broad_level|bdtanh|w120,fx,us_dxy_broad,level,0,0,2006-01-02,bdtanh,120,-1,0.225,0.42,0.299,0.32,0.313,0.264,0.476,21,-0.208,-0.014934553787790784,2486,-38.67,18.95,99.62,6.69,False,False,False,True,True,2
us_semi_ppi_yoy|selfz|w60,semis,us_semi_ppi,yoy,12,45,1967-01-01,selfz,60,-1,0.42,-0.027,0.298,0.312,0.307,0.247,0.615,26,-0.081,0.0025926633006898405,1745,-69.8,10.01,99.17,4.51,False,False,True,True,False,2
us_semi_ip_nsa_yoy|bdtanh|w60,semis,us_semi_ip_nsa,yoy,12,46,1972-01-01,bdtanh,60,1,0.426,-0.054,0.289,0.299,0.296,0.278,0.577,26,0.004,0.022591696905456544,1603,-58.05,8.21,99.81,3.32,False,False,True,True,False,2
