cell,SR_IS,SR_net,SR_of_SR,positive_years,n_years,beta,mean_abs_w,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes
monthly|call_far_share|selfz|w252|c2c,-0.021373942277985718,-0.2210334091025789,-0.20653565328662443,0.3333333333333333,18,-0.7470274723797115,0.8924674039453221,-0.837,False,False,True,False,False,1,False
monthly|call_far_share|robustz|w20|c2c,0.014470275481254239,0.000799277105917806,-0.08071198136314008,0.5,18,0.5827545078357389,0.9125376406347557,0.639,False,False,True,False,False,1,False
monthly|call_far_share|robustz|w60|c2c,0.054784933789273224,0.11279817406109285,0.10513470202651946,0.5555555555555556,18,0.7586569945500793,0.8327285359995866,0.911,False,False,True,False,False,1,False
monthly|call_far_share|robustz|w120|c2c,0.08440230320557142,0.1945335887756134,0.20686073082369294,0.6111111111111112,18,1.0202910585134533,0.8512107315644342,1.199,False,False,True,False,False,1,False
monthly|call_far_share|robustz|w252|c2c,0.010667736812800472,0.2478098559660089,0.14254154601084942,0.7058823529411765,17,0.9762209383217452,0.8328774049793307,1.172,False,True,True,False,False,2,False
monthly|call_far_share|bdtanh|w20|c2c,0.05668503666028626,-0.07110487585626653,-0.2099759556850262,0.3888888888888889,18,0.20901119440813132,0.6377396267910125,0.328,False,False,True,False,False,1,False
monthly|call_far_share|bdtanh|w60|c2c,0.005447935449506101,-0.029630640211233305,-0.11628737843333717,0.6111111111111112,18,0.26152305108952784,0.6153878146568588,0.425,False,False,True,False,False,1,False
monthly|call_far_share|bdtanh|w120|c2c,0.15053784513219406,0.05386231335737542,-0.01914223776601982,0.5555555555555556,18,0.28836584798324544,0.5990756728806209,0.481,False,False,True,False,False,1,False
monthly|call_far_share|bdtanh|w252|c2c,-0.040966091422209736,-0.11213281162672231,-0.11188279342683806,0.5,18,-0.30557886262506573,0.60014959519387,-0.509,False,False,True,False,False,1,False
monthly|call_far_share|rankc|w20|c2c,0.04277630645803656,0.024755731193533876,-0.11747161538947487,0.4444444444444444,18,0.2365834173251585,0.5627890841813183,0.42,False,False,True,False,False,1,False
monthly|call_far_share|rankc|w60|c2c,0.04541464007074784,0.0017571051454834878,-0.07972619912371048,0.6111111111111112,18,0.27309687079326167,0.5484820322180928,0.498,False,False,True,False,False,1,False
monthly|call_far_share|rankc|w120|c2c,0.037119918975119785,0.04439662980426676,-0.033693986166742206,0.6111111111111112,18,0.2872167319278191,0.5343628139135868,0.537,False,False,True,False,False,1,False
monthly|call_far_share|rankc|w252|c2c,-0.15603964946806786,-0.1080600591033704,-0.02159079314757356,0.3888888888888889,18,-0.3152274232395765,0.5345769961977181,-0.59,False,False,True,False,False,1,False
monthly|call_far_share|signth|w20|c2c,0.03686555721497085,-0.17108037003728885,-0.3076607290705119,0.4444444444444444,18,0.12046773372090294,0.5033578509753758,0.239,False,False,True,False,True,1,False
