date,fgn_net_k,trust_net_k,dealer_net_k,fgn_gross_k,trust_gross_k,fgn_breadth,trust_breadth
2010-01-20,36789.0,-237152.0,,50870553.0,6950812.0,0.6344206974128234,0.271356783919598
2010-01-21,2341804.0,-1447013.0,,45805446.0,5208504.0,0.6078224101479915,0.3983050847457627
2010-01-22,-21254054.0,-1217211.0,,59529882.0,5080148.0,0.4208092485549133,0.43805309734513276
2010-01-25,-11184012.0,-1396308.0,,42680634.0,6181278.0,0.4296774193548387,0.19912472647702406
2010-01-26,-17689298.0,-2509029.0,,58259672.0,6339864.0,0.23237885462555066,0.31365313653136534
2010-01-27,-7750356.0,-1017646.0,,43358675.0,6318437.0,0.4334511189634865,0.6918489065606361
2010-01-28,-9240032.0,-247304.0,,50010865.0,6912974.0,0.5351288056206089,0.6608478802992519
2010-01-29,-11176250.0,-514266.0,,57586816.0,6151050.0,0.32,0.6542056074766355
2010-02-01,-12129911.0,-936219.0,,49106501.0,4008426.0,0.26985981308411217,0.6855036855036855
2010-02-02,-5337907.0,-338589.0,,54297557.0,5552914.0,0.2251655629139073,0.45075757575757575
2010-02-03,-1783070.0,-56802.0,,37028057.0,5608700.0,0.3192488262910798,0.6478149100257069
