frac,sign,n_bars,SR_gross,SR_net,SR_of_SR,positive_years,yr_sr_min,n_years,beta,mean_exec_w,abs_exec_w,max_dd_pct,max_dd_days,turnover_ann,held_pct,start_date,end_date,passes
0.1,1,2264,0.29029820259337213,0.15434398763249932,0.053445370695124526,0.5,-1.4798821791954544,10,0.12313739431292443,0.10247349823321555,0.10247349823321555,-11.58071811537617,1305,44.74558303886926,10.247349823321555,2017-05-16,2026-09-01,False
0.1,1,2264,0.6564697582618283,0.49353631099276163,0.3703764715419573,0.7,-1.4130997819706157,10,0.08735904463423473,0.09496466431095406,0.09496466431095406,-9.747101598190461,777,44.30035335689046,9.496466431095406,2017-05-16,2026-09-01,False
0.1,1,2264,0.5622293555356638,0.3866315829825867,0.15129308681375372,0.5,-1.502429766020673,10,0.07797251413606905,0.10114840989399293,0.10114840989399293,-10.406715104055438,957,45.63604240282686,10.114840989399292,2017-05-16,2026-09-01,False
0.1,1,2264,0.3803588825483892,0.19774986297838337,0.5200898703774275,0.7,-0.6646620466181891,10,0.06625852379894595,0.09452296819787986,0.09452296819787986,-6.332083066159265,779,44.63427561837456,9.452296819787986,2017-05-16,2026-09-01,False
0.1,1,2264,0.443778726672103,0.2986904900328247,0.4431919570132945,0.7,-1.437518635889659,10,0.10155478883835323,0.10114840989399293,0.10114840989399293,-10.377494330535027,604,44.07773851590106,10.114840989399292,2017-05-16,2026-09-01,False
0.1,1,2264,0.3562291154141878,0.19107114015647336,0.5160040441371494,0.7,-0.38980243552208843,10,0.09358974196745687,0.10600706713780919,0.10600706713780919,-5.670869919918534,1101,47.973498233215544,10.60070671378092,2017-05-16,2026-09-01,False
0.1,1,2264,-0.11937109010712761,-0.28241920122810565,-0.17355765123358483,0.5,-1.8045177164316313,10,0.10585634444974983,0.10865724381625441,0.10865724381625441,-15.810667446448912,2075,49.97703180212014,10.86572438162544,2017-05-16,2026-09-01,False
0.1,1,2264,0.6418737070569811,0.48687803707445326,0.2594961936177032,0.6,-1.4644247199083398,10,0.08692391618482743,0.09584805653710247,0.09584805653710247,-8.657585989829354,848,43.52120141342756,9.584805653710248,2017-05-16,2026-09-01,False
0.1,1,2264,-0.33478467066941436,-0.4906599452160694,-0.28285452150617424,0.4,-2.0334140258876494,10,0.08700851031571555,0.09275618374558305,0.09275618374558305,-25.588895526199206,1591,43.632508833922266,9.275618374558304,2017-05-16,2026-09-01,False
0.1,1,2264,1.3012992459884263,1.1249664278668665,0.8379317647034628,0.8,-0.5173672178383782,10,0.06598292368044364,0.09628975265017668,0.09628975265017668,-5.923128286107193,875,43.409893992932865,9.628975265017669,2017-05-16,2026-09-01,True
0.1,1,2264,0.48601184711230816,0.3287858611865587,0.3012963943967289,0.5,-1.2803835512513186,10,0.11000492169857468,0.10512367491166077,0.10512367491166077,-7.713058814471374,601,48.53003533568905,10.512367491166078,2017-05-16,2026-09-01,False
0.1,1,2264,0.5613042246690304,0.3806414109605988,0.46284227125943816,0.6,-1.0863775295903673,10,0.06922101853566523,0.09673144876325088,0.09673144876325088,-6.604930533052884,724,44.18904593639576,9.673144876325088,2017-05-16,2026-09-01,False
0.1,1,2264,0.32342265122016123,0.15660502212708616,0.09550187379578891,0.5,-1.3049946112608957,10,0.09697714537918849,0.10998233215547704,0.10998233215547704,-6.023597885792639,1032,48.418727915194346,10.998233215547703,2017-05-16,2026-09-01,False
